depression_prob,Age
0.0022,16
0.0033,17
0.0041,18
0.0069,19
0.015,20
0.0087,21
0.0112,22
0.0114,23
0.0116,24
0.0129,25
0.0143,26
0.0149,27
0.0148,28
0.0189,29
0.0164,30
0.0168,31
0.017,32
0.0179,33
0.0181,34
0.0168,35
0.0187,36
0.01835,37
0.0179,38
0.0163,39
0.0194,40
0.01805,41
0.0202,42
0.0193,43
0.02015,44
0.02025,45
0.021,46
0.0179,47
0.0208,48
0.0203,49
0.0213,50
0.0219,51
0.0217,52
0.0187,53
0.0193,54
0.01725,55
0.01625,56
0.01985,57
0.01685,58
0.0161,59
0.0143,60
0.01585,61
0.0118,62
0.0128,63
0.0127,64
0.01015,65
0.0092,66
0.007,67
0.0062,68
0.0082,69
0.00725,70
